2018-08-06T11:24:55.356Z - info: Website generation started at 19:24:55
2018-08-06T11:25:01.985Z - info: Building assets...
2018-08-06T11:25:29.727Z - info: Assets built
2018-08-06T11:25:29.727Z - info: Generating pages...
2018-08-06T11:26:24.489Z - info: Pages built
2018-08-06T11:26:25.361Z - info: Site data built
2018-08-06T11:26:25.361Z - info: Website generation complete! Total build time: 90.02s
2018-08-06T11:26:25.371Z - info: Generate Site durationMs=90030
2018-08-06T11:26:25.964Z - info: Serving "C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_site" at http://127.0.0.1:8080
2018-08-06T11:26:25.964Z - info: Press CTRL+C to stop ...
2018-08-06T11:50:44.989Z - info: [19:50:44] Reload for file add: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\hashMapClass\resources.md
2018-08-06T11:50:46.013Z - verbose: Rebuild affected paths: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\hashMapClass\resources.md
2018-08-06T11:50:46.013Z - info: Rebuilding 0 pages
2018-08-06T11:50:46.013Z - info: Pages rebuilt
2018-08-06T11:50:46.013Z - info: Site data built
2018-08-06T11:51:02.748Z - info: [19:51:02] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\hashMapClass\text.md
2018-08-06T11:51:02.764Z - info: [19:51:02] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\hashMapClass\resources.md
2018-08-06T11:51:03.756Z - verbose: Rebuild affected paths: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\hashMapClass\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\hashMapClass\resources.md
2018-08-06T11:51:03.760Z - info: Rebuilding 4 pages
2018-08-06T11:51:05.148Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_markbind\boilerplates\unit-inElsewhere-asFlat.md
2018-08-06T11:51:05.148Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\path.md
2018-08-06T11:51:05.243Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\text.md
2018-08-06T11:51:05.243Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\about\text.md
2018-08-06T11:51:05.243Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\text.md
2018-08-06T11:51:05.243Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\what\text.md
2018-08-06T11:51:05.244Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\how\text.md
2018-08-06T11:51:05.244Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\editions\text.md
2018-08-06T11:51:05.244Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\text.md
2018-08-06T11:51:05.244Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\installation\text.md
2018-08-06T11:51:05.244Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\helloWorld\text.md
2018-08-06T11:51:05.244Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\compiling\text.md
2018-08-06T11:51:05.245Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\running\text.md
2018-08-06T11:51:05.245Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\text.md
2018-08-06T11:51:05.245Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\primitiveTypes\text.md
2018-08-06T11:51:05.245Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\variables\text.md
2018-08-06T11:51:05.245Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\operators\text.md
2018-08-06T11:51:05.245Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\arrays\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\branching\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\loops\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\methods\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\usingObjects\text.md
2018-08-06T11:51:05.246Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\instanceMembers\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\passingObjects\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\garbageCollection\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\definingClasses\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\gettersAndSetters\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\classLevelMembers\text.md
2018-08-06T11:51:05.247Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\text.md
2018-08-06T11:51:05.248Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\api\text.md
2018-08-06T11:51:05.248Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\stringClass\text.md
2018-08-06T11:51:05.248Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\wrapperClasses\text.md
2018-08-06T11:51:05.248Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\arraysClass\text.md
2018-08-06T11:51:05.248Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\scannerClass\text.md
2018-08-06T11:51:05.248Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\basic\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\objectClass\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\interfaces\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\polymorphism\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\abstractClassesAndMethods\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\exceptions\text.md
2018-08-06T11:51:05.249Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\exceptions\what\text.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\common\definitions.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\exceptions\how\text.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\generics\text.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\generics\what\text.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\generics\how\text.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\what\text.md
2018-08-06T11:51:05.250Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_markbind\boilerplates\unit-inParent-asPanel.md
2018-08-06T11:51:05.251Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_markbind\boilerplates\container-inParent-asPanel.md
2018-08-06T11:51:05.257Z - info: [19:51:05] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\text.md
2018-08-06T11:51:06.020Z - info: Pages rebuilt
2018-08-06T11:51:06.030Z - info: Site data built
